iter	Passed	Remaining
1106	29907	20073
1107	29936	20047
1108	29965	20022
1109	29999	19999
1110	30028	19974
1111	30057	19948
1112	30085	19921
1113	30111	19894
1114	30142	19869
1115	30170	19843
1116	30198	19817
1117	30227	19790
1118	30255	19764
1119	30287	19741
1120	30320	19717
1121	30351	19693
1122	30380	19667
1123	30409	19642
1124	30438	19615
1125	30465	19589
1126	30495	19563
1127	30523	19537
1128	30552	19511
1129	30583	19486
1130	30612	19460
1131	30652	19442
1132	30685	19418
1133	30729	19402
1134	30769	19383
1135	30799	19358
1136	30830	19333
1137	30866	19311
1138	30897	19287
1139	30931	19264
1140	30962	19239
1141	30991	19213
1142	31022	19189
1143	31055	19165
1144	31088	19142
1145	31119	19117
1146	31156	19095
1147	31187	19070
1148	31216	19044
1149	31246	19019
1150	31276	18993
1151	31306	18968
1152	31334	18942
1153	31361	18914
1154	31389	18888
1155	31485	18902
1156	31531	18886
1157	31567	18864
1158	31596	18837
1159	31630	18814
1160	31663	18790
1161	31696	18767
1162	31728	18742
1163	31762	18719
1164	31794	18694
1165	31824	18669
1166	31858	18645
1167	31892	18622
1168	31922	18596
1169	31977	18585
1170	32015	18563
1171	32059	18546
1172	32090	18521
1173	32118	18494
1174	32152	18470
1175	32201	18455
1176	32233	18430
1177	32265	18406
1178	32292	18378
1179	32327	18355
1180	32358	18330
1181	32390	18305
1182	32429	18284
1183	32461	18259
1184	32501	18238
1185	32534	18214
1186	32564	18188
1187	32595	18163
1188	32626	18138
1189	32655	18111
1190	32682	18083
1191	32707	18055
1192	32741	18031
1193	32771	18005
1194	32800	17978
1195	32828	17951
1196	32857	17924
1197	32888	17899
1198	32925	17876
1199	32954	17850
1200	32981	17822
1201	33010	17796
1202	33037	17768
1203	33065	17741
1204	33092	17713
1205	33121	17686
1206	33153	17661
1207	33189	17638
1208	33220	17613
1209	33250	17587
1210	33280	17560
1211	33324	17541
1212	33361	17519
1213	33394	17494
1214	33423	17468
1215	33454	17442
1216	33487	17417
1217	33517	17391
1218	33552	17368
1219	33583	17342
1220	33615	17317
1221	33654	17295
1222	33689	17271
1223	33744	17257
1224	33772	17231
1225	33798	17202
1226	33828	17176
1227	33863	17152
1228	33970	17164
1229	34014	17145
1230	34048	17120
1231	34078	17094
1232	34106	17067
1233	34133	17038
1234	34164	17013
1235	34195	16987
1236	34227	16961
1237	34257	16935
1238	34289	16909
1239	34321	16884
1240	34364	16863
1241	34402	16841
1242	34428	16812
1243	34458	16786
1244	34484	16757
1245	34507	16727
1246	34532	16698
1247	34558	16670
1248	34586	16642
1249	34613	16614
1250	34643	16587
1251	34670	16560
1252	34699	16532
1253	34726	16505
1254	34761	16480
1255	34788	16452
1256	34815	16424
1257	34842	16396
1258	34870	16368
1259	34895	16340
1260	34922	16311
1261	34947	16282
1262	34971	16253
1263	34996	16224
1264	35021	16195
1265	35046	16166
1266	35071	16138
1267	35096	16108
1268	35121	16079
1269	35150	16053
1270	35174	16023
1271	35199	15994
1272	35225	15966
1273	35251	15937
1274	35274	15908
1275	35299	15879
1276	35323	15849
1277	35351	15822
1278	35378	15794
1279	35402	15765
1280	35427	15736
1281	35453	15707
1282	35482	15681
1283	35510	15653
1284	35533	15623
1285	35560	15595
1286	35586	15567
1287	35614	15539
1288	35639	15511
1289	35664	15482
1290	35688	15452
1291	35713	15424
1292	35739	15395
1293	35761	15365
1294	35784	15336
1295	35809	15307
1296	35838	15280
1297	35867	15253
1298	35895	15225
1299	35922	15198
1300	35951	15171
1301	36001	15152
1302	36037	15128
1303	36068	15102
1304	36096	15074
1305	36123	15046
1306	36153	15020
1307	36181	14992
1308	36208	14964
1309	36237	14937
1310	36268	14911
1311	36297	14884
1312	36329	14858
1313	36360	14831
1314	36386	14803
1315	36413	14775
1316	36446	14750
1317	36475	14722
1318	36503	14695
1319	36530	14667
1320	36564	14642
1321	36592	14614
1322	36622	14587
1323	36657	14563
1324	36695	14539
1325	36724	14512
1326	36752	14485
1327	36781	14457
1328	36811	14431
1329	36874	14417
1330	36943	14405
1331	36977	14380
1332	37002	14351
1333	37031	14324
1334	37063	14297
1335	37088	14269
1336	37114	14240
1337	37137	14211
1338	37162	14182
1339	37189	14154
1340	37217	14126
1341	37244	14098
1342	37271	14070
1343	37301	14043
1344	37330	14016
1345	37357	13988
1346	37385	13960
1347	37411	13932
1348	37436	13903
1349	37464	13875
1350	37492	13847
1351	37517	13819
1352	37545	13791
1353	37574	13764
1354	37601	13736
1355	37631	13709
1356	37662	13682
1357	37694	13656
1358	37727	13630
1359	37755	13603
1360	37785	13576
1361	37835	13556
1362	37872	13531
1363	37901	13504
1364	37928	13476
1365	37952	13447
1366	37984	13420
1367	38012	13393
1368	38041	13365
1369	38077	13340
1370	38109	13314
1371	38137	13287
1372	38161	13257
1373	38188	13229
1374	38212	13200
1375	38235	13171
1376	38259	13142
1377	38286	13114
1378	38314	13086
1379	38340	13057
1380	38364	13028
1381	38388	13000
1382	38416	12972
1383	38443	12944
1384	38471	12916
1385	38500	12889
1386	38531	12862
1387	38562	12835
1388	38588	12807
1389	38615	12779
1390	38641	12750
1391	38667	12722
1392	38693	12694
1393	38721	12666
1394	38748	12638
1395	38772	12609
1396	38798	12581
1397	38824	12552
1398	38853	12525
1399	38880	12497
1400	38909	12469
1401	38942	12443
1402	38969	12415
1403	39011	12392
1404	39055	12369
1405	39093	12345
1406	39141	12324
1407	39283	12331
1408	39362	12319
1409	39407	12297
1410	39454	12275
1411	39567	12273
1412	39627	12255
1413	39692	12238
1414	39755	12221
1415	39806	12200
1416	39854	12178
1417	39886	12151
1418	39922	12125
1419	39955	12099
1420	39988	12072
1421	40025	12047
1422	40058	12020
1423	40101	11996
1424	40132	11969
1425	40164	11942
1426	40189	11913
1427	40218	11885
1428	40246	11857
1429	40280	11830
1430	40318	11805
1431	40348	11777
1432	40375	11749
1433	40407	11722
1434	40440	11695
1435	40469	11667
1436	40500	11639
1437	40525	11610
1438	40554	11582
1439	40586	11555
1440	40614	11527
1441	40642	11499
1442	40672	11471
1443	40704	11444
1444	40733	11416
1445	40763	11388
1446	40798	11362
1447	40831	11335
1448	40859	11307
1449	40890	11280
1450	40922	11252
1451	40953	11225
1452	40983	11197
1453	41012	11169
1454	41043	11142
1455	41077	11115
1456	41111	11089
1457	41145	11062
1458	41177	11035
1459	41215	11009
1460	41252	10983
1461	41284	10956
1462	41313	10928
1463	41344	10900
1464	41385	10876
1465	41459	10859
1466	41497	10833
1467	41543	10810
1468	41607	10791
1469	41656	10768
1470	41695	10742
1471	41743	10719
1472	41772	10691
1473	41807	10664
1474	41844	10638
1475	41888	10613
1476	41925	10587
1477	41958	10560
1478	41989	10532
1479	42022	10505
1480	42054	10478
1481	42087	10450
1482	42126	10425
1483	42155	10396
1484	42182	10368
1485	42215	10340
1486	42247	10313
1487	42275	10284
1488	42304	10256
