Реестровый номер закупки;Наименование закупки;Классификация по ОКПД2;Дата размещения
№32413159697;информационные услуги с использованием экземпляров Систем Консультант Плюс  (услуги по адаптации и сопровождению экземпляров систем).;"63.1: Услуги по обработке данных, размещению и взаимосвязанные услуги; порталы в информационно-коммуникационной сети Интернет";09.01.2024
№32413159317;Услуги по поставке, адаптации, сопровождению экземпляров систем Консультантплюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159313;Услуги по сопровождению программы  ;63.99.10.110: Услуги по поиску информации за вознаграждение или на договорной основе;09.01.2024
№32413159270;Обслуживание программного обеспечения «1С: Предприятие»;62.03.12.190: Услуги по управлению компьютерными системами прочие, не включенные в другие группировки;09.01.2024
№32413159651;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс в составе унифицированного комплекта  для филиала ППК «Роскадастр» по Московской области;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413159625;Оказание услуг по сопровождению и обновлению справочно-правовых Систем КонсультантПлюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413157174;Услуги по обслуживанию и настройке программных продуктов;62.01: Продукты программные и услуги по разработке и тестированию программного обеспечения;09.01.2024
№32413158297;Информационное сопровождение СПС Консультант Плюс;63.99.10: Услуги информационные прочие, не включенные в другие группировки;09.01.2024
№32413158717;ПОСТАВКА, АДАПТАЦИЯ И СОПРОВОЖДЕНИЕ ЭКЗЕМПЛЯРОВ СИСТЕМ КОНСУЛЬТАНТПЛЮС;62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413159172;Сопровождение программных продуктов фирмы «1С»;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413159135;Оказание услуг по техническому обслуживанию компьютерного оборудования и оргтехники ;62.09.20.190: Услуги по технической поддержке в области информационных технологий прочие, не включенные в другие группировки;09.01.2024
№32413159515;Аукцион в электронной форме участниками которого могут быть только субъекты малого и среднего предпринимательства на право заключения договора на оказание услуг по определению категорий по взрывопожарной и пожарной опасности зданий и помещений АО «Мосводоканал».;62.01.11.000: Услуги по проектированию и разработке информационных технологий для прикладных задач и тестированию программного обеспечения;09.01.2024
№32413159502;Право заключения договора оказания услуг по техническому обслуживанию информационно - управляющей системы «CIM-ЗРП» (3533548);62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413159496;Оказание услуг по адаптации и сопровождению экземпляров Систем Консультант Плюс на основе специального лицензионного сервисного программного обеспечения, обеспечивающего совместимость(взаимодействие) услуг с установленными ранее экземплярами Систем Консультант Плюс;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413156260;Абонементное информационно-технологическое сопровождение программных продуктов системы 1С:Предприятие;62.03.12.130: Услуги по сопровождению компьютерных систем;09.01.2024
№32413156972;Услуги по сопровождению справочно-правовой системы Консультант Плюс;63.99.10.190: Услуги информационные автоматизированные компьютерные прочие, не включенные в другие группировки;09.01.2024
№32413158574;Приобретение неисключительных прав (простая неисключительная лицензия) использования Базы данных Электронной Системы «Госфинансы Плюс», расположенной по адресу: https://plus.gosfinansy.ru/ , Кадровой справочной системы «Система Кадры» для бюджетных учреждений, расположенной по адресу budget.1kadry.ru/, Электронной Системы «Госзаказ», расположенной по адресу http://1gzakaz.ru/.;62.02: Услуги консультативные, связанные с компьютерной техникой;09.01.2024
№32413159477;Право заключения договора оказания услуг по техническому обслуживанию программ для ЭВМ «Система мониторинга соблюдения объемов и сроков проведения ремонтов сетевого оборудования» (Мониторинг сетей), «Оперативный баланс мощности ЕЭС России» (АС ОБМ), «Определение показателей готовности генерирующего оборудования к выработке электроэнергии» (ПК Готовность), «Подъем оперативной информации для неоперативных задач» (ПО Подъем), «Определение показателей готовности генерирующего оборудования к участию в регулировании» (ПК Готовность-2) (3533492);62.02.30.000: Услуги по технической поддержке информационных технологий;09.01.2024
№32413158569;информационное обслуживание программных продуктов;62.02.20.190: Услуги консультативные в области компьютерных технологий прочие;09.01.2024
№32413159452;Оказание услуг по адаптации и сопровождению экземпляров Систем КонсультантПлюс, оказываемых на основе специального лицензионного программного обеспечения для нужд ГАУДОМО «Кировская СШОР по ГСиФ»;63.11.19.000: Услуги прочие по размещению и предоставлению инфраструктуры информационных технологий;09.01.2024
№32413158973;Оказание услуг предоставлению и обработке информации;63.11.11.000: Услуги по обработке данных;09.01.2024
№32413158901;Оказание услуг по ведению расчетов и обработке платежей собственников и нанимателей жилых помещений и по учету граждан;63.11.11.000: Услуги по обработке данных;09.01.2024
